World(robot=Robot(position=Point(x=761.0, y=469.5), angle=0.4787218193219731), goal=Point(x=719.927659372434, y=512.9685437804677), obstacles=[[Point(x=392, y=100), Point(x=397, y=545), Point(x=649, y=551), Point(x=644, y=106)]])
[Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)]
{1.2529656887054443: (Robot(position=Point(x=43.0, y=283.5), angle=1.632446608941419), MotorSpeed(left=50.0, right=-50.0), MotorSpeed(left=[8], right=[-10]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{1.3732035160064697: (Robot(position=Point(x=42.5, y=282.5), angle=1.5957911829160283), MotorSpeed(left=50.0, right=-50.0), MotorSpeed(left=[34], right=[-48]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{1.522425889968872: (Robot(position=Point(x=42.5, y=283.0), angle=1.607816539208753), MotorSpeed(left=50.0, right=-50.0), MotorSpeed(left=[43], right=[-66]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{1.6743111610412598: (Robot(position=Point(x=43.5, y=285.0), angle=1.558451257150037), MotorSpeed(left=50.0, right=-50.0), MotorSpeed(left=[39], right=[-42]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{1.8315694332122803: (Robot(position=Point(x=42.5, y=286.0), angle=1.5091460565732548), MotorSpeed(left=50.0, right=-50.0), MotorSpeed(left=[53], right=[-44]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{1.9835045337677002: (Robot(position=Point(x=43.5, y=287.5), angle=1.397550664346082), MotorSpeed(left=50.0, right=-50.0), MotorSpeed(left=[56], right=[-56]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{2.1134719848632812: (Robot(position=Point(x=43.0, y=289.0), angle=1.3734007696317265), MotorSpeed(left=50.0, right=-50.0), MotorSpeed(left=[56], right=[-38]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{2.2438504695892334: (Robot(position=Point(x=42.5, y=290.0), angle=1.3045442918942998), MotorSpeed(left=50.0, right=-50.0), MotorSpeed(left=[57], right=[-42]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{2.398550510406494: (Robot(position=Point(x=42.0, y=291.0), angle=1.2649174551175664), MotorSpeed(left=50.0, right=-50.0), MotorSpeed(left=[57], right=[-38]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{2.514345407485962: (Robot(position=Point(x=41.5, y=292.0), angle=1.2252405504392216), MotorSpeed(left=50.0, right=-50.0), MotorSpeed(left=[56], right=[-42]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
{2.6727893352508545: (Robot(position=Point(x=41.5, y=294.0), angle=1.14623495141731), MotorSpeed(left=50.0, right=-50.0), MotorSpeed(left=[57], right=[-34]), [Point(x=42.5, y=282.5), Point(x=397.0, y=545.0), Point(x=649.0, y=551.0), Point(x=719.927659372434, y=512.9685437804677)])}
